,holiday,workingday,weather,temp,atemp,humidity,windspeed,total,year,month,hour,season_2,season_3,season_4
0,0,0,1,9.84,14.395,81,0.0,16,2011,1,0,0,0,0
1,0,0,1,9.02,13.635,80,0.0,40,2011,1,1,0,0,0
2,0,0,1,9.02,13.635,80,0.0,32,2011,1,2,0,0,0
3,0,0,1,9.84,14.395,75,0.0,13,2011,1,3,0,0,0
4,0,0,1,9.84,14.395,75,0.0,1,2011,1,4,0,0,0
5,0,0,2,9.84,12.88,75,6.0032,1,2011,1,5,0,0,0
6,0,0,1,9.02,13.635,80,0.0,2,2011,1,6,0,0,0
7,0,0,1,8.2,12.88,86,0.0,3,2011,1,7,0,0,0
8,0,0,1,9.84,14.395,75,0.0,8,2011,1,8,0,0,0
9,0,0,1,13.12,17.425,76,0.0,14,2011,1,9,0,0,0
10,0,0,1,15.58,19.695,76,16.9979,36,2011,1,10,0,0,0
11,0,0,1,14.76,16.665,81,19.0012,56,2011,1,11,0,0,0
12,0,0,1,17.22,21.21,77,19.0012,84,2011,1,12,0,0,0
13,0,0,2,18.86,22.725,72,19.9995,94,2011,1,13,0,0,0
14,0,0,2,18.86,22.725,72,19.0012,106,2011,1,14,0,0,0
15,0,0,2,18.04,21.97,77,19.9995,110,2011,1,15,0,0,0
16,0,0,2,17.22,21.21,82,19.9995,93,2011,1,16,0,0,0
17,0,0,2,18.04,21.97,82,19.0012,67,2011,1,17,0,0,0
18,0,0,3,17.22,21.21,88,16.9979,35,2011,1,18,0,0,0
19,0,0,3,17.22,21.21,88,16.9979,37,2011,1,19,0,0,0
20,0,0,2,16.4,20.455,87,16.9979,36,2011,1,20,0,0,0
21,0,0,2,16.4,20.455,87,12.998,34,2011,1,21,0,0,0
22,0,0,2,16.4,20.455,94,15.0013,28,2011,1,22,0,0,0
23,0,0,2,18.86,22.725,88,19.9995,39,2011,1,23,0,0,0
24,0,0,2,18.86,22.725,88,19.9995,17,2011,1,0,0,0,0
25,0,0,2,18.04,21.97,94,16.9979,17,2011,1,1,0,0,0
26,0,0,2,17.22,21.21,100,19.0012,9,2011,1,2,0,0,0
27,0,0,2,18.86,22.725,94,12.998,6,2011,1,3,0,0,0
28,0,0,2,18.86,22.725,94,12.998,3,2011,1,4,0,0,0
29,0,0,3,17.22,21.21,77,19.9995,2,2011,1,6,0,0,0
30,0,0,2,16.4,20.455,76,12.998,1,2011,1,7,0,0,0
31,0,0,3,16.4,20.455,71,15.0013,8,2011,1,8,0,0,0
32,0,0,2,15.58,19.695,76,15.0013,20,2011,1,9,0,0,0
33,0,0,2,14.76,17.425,81,15.0013,53,2011,1,10,0,0,0
34,0,0,2,14.76,16.665,71,16.9979,70,2011,1,11,0,0,0
35,0,0,2,14.76,16.665,66,19.9995,93,2011,1,12,0,0,0
36,0,0,2,14.76,17.425,66,8.9981,75,2011,1,13,0,0,0
37,0,0,3,14.76,17.425,76,12.998,59,2011,1,14,0,0,0
38,0,0,3,13.94,16.665,81,11.0014,74,2011,1,15,0,0,0
39,0,0,3,13.94,16.665,71,11.0014,76,2011,1,16,0,0,0
40,0,0,1,13.94,16.665,57,12.998,65,2011,1,17,0,0,0
41,0,0,2,14.76,16.665,46,22.0028,53,2011,1,18,0,0,0
42,0,0,1,13.12,14.395,42,30.0026,30,2011,1,19,0,0,0
43,0,0,1,12.3,13.635,39,23.9994,22,2011,1,20,0,0,0
44,0,0,1,10.66,11.365,44,22.0028,31,2011,1,21,0,0,0
45,0,0,1,9.84,10.605,44,19.9995,9,2011,1,22,0,0,0
46,0,0,1,9.02,11.365,47,11.0014,8,2011,1,23,0,0,0
47,0,1,1,9.02,9.85,44,23.9994,5,2011,1,0,0,0,0
48,0,1,1,8.2,8.335,44,27.9993,2,2011,1,1,0,0,0
49,0,1,1,6.56,6.82,47,26.0027,1,2011,1,4,0,0,0
50,0,1,1,6.56,6.82,47,19.0012,3,2011,1,5,0,0,0
51,0,1,1,5.74,5.305,50,26.0027,30,2011,1,6,0,0,0
52,0,1,1,5.74,6.82,50,12.998,64,2011,1,7,0,0,0
53,0,1,1,5.74,6.06,50,19.0012,154,2011,1,8,0,0,0
54,0,1,1,6.56,6.82,43,26.0027,88,2011,1,9,0,0,0
55,0,1,1,7.38,8.335,43,16.9979,44,2011,1,10,0,0,0
56,0,1,1,8.2,9.09,40,22.0028,51,2011,1,11,0,0,0
57,0,1,1,9.02,10.605,35,19.9995,61,2011,1,12,0,0,0
58,0,1,1,9.84,10.605,35,19.0012,61,2011,1,13,0,0,0
59,0,1,1,10.66,12.12,30,19.0012,77,2011,1,14,0,0,0
60,0,1,1,10.66,12.12,30,16.9979,72,2011,1,15,0,0,0
61,0,1,1,10.66,12.12,30,16.9979,76,2011,1,16,0,0,0
62,0,1,1,9.84,11.365,30,15.0013,157,2011,1,17,0,0,0
63,0,1,1,9.84,12.88,32,7.0015,157,2011,1,18,0,0,0
64,0,1,1,8.2,12.88,47,0.0,110,2011,1,19,0,0,0
65,0,1,1,8.2,11.365,47,7.0015,52,2011,1,20,0,0,0
66,0,1,1,7.38,9.85,64,8.9981,52,2011,1,21,0,0,0
67,0,1,1,5.74,7.575,69,8.9981,20,2011,1,22,0,0,0
68,0,1,1,7.38,10.605,55,7.0015,12,2011,1,23,0,0,0
